and	AND
Little (Black|Pwagmattasquarmsettport)	ORGANIZATION
London Eye	ORGANIZATION
Loose Chandeliers	ORGANIZATION
Lotto 'N' Liquor	ORGANIZATION
Low Quality Inn	ORGANIZATION
Luigi 's	ORGANIZATION
Ma and Pa 's	ORGANIZATION
Madame Chao 's	ORGANIZATION
Malaria Zone	ORGANIZATION
Map(p)le	ORGANIZATION
Marine	ORGANIZATION
Marital Stress Hotline	ORGANIZATION
Marriage Counseling	ORGANIZATION
Marvyn 's	ORGANIZATION
Masseur	ORGANIZATION
Matchmaking	ORGANIZATION
Matlock Expressway	ORGANIZATION
Meat	ORGANIZATION
MENSA	ORGANIZATION
Mental Institution	ORGANIZATION
Mick-rosoft	ORGANIZATION
Mickey Mao 's	ORGANIZATION
MIT	ORGANIZATION
Myundai (Car)	ORGANIZATION
N'Gulp	ORGANIZATION
Naming Rights Available	ORGANIZATION
Nudes Nudes Nudes	ORGANIZATION
One Night Stan 's	ORGANIZATION
Other Guy	ORGANIZATION
Painful Memories Party Supplies	ORGANIZATION
Pamperie	ORGANIZATION
Party Supplies	ORGANIZATION
Penny Loafer	ORGANIZATION
Permits	ORGANIZATION
Pest Bye	ORGANIZATION
Petite Appétit	ORGANIZATION
Pharmaceuticals	ORGANIZATION
Pharmacy	ORGANIZATION
Photo	ORGANIZATION
Planet Hype	ORGANIZATION
Plastic Surgery	ORGANIZATION
Polystar Pictures	ORGANIZATION
Poppa Wheelie 's	ORGANIZATION
Popsicle Stick Skyscraper	ORGANIZATION
Pow-Wow	ORGANIZATION
Practice	ORGANIZATION
Praiseland	ORGANIZATION
Preschool	ORGANIZATION
R. Crumb 's Keep on Muffin '	ORGANIZATION
Red Tick Beer Brewery	ORGANIZATION
Relaxo	ORGANIZATION
Repo Depot	ORGANIZATION
Rotisserie	ORGANIZATION
Royal Fart	ORGANIZATION
Rusty Barnacle	ORGANIZATION
RV Round-Up	ORGANIZATION
Saws	ORGANIZATION
Scratchy Land	ORGANIZATION
Septic Seats	ORGANIZATION
Sequel Stop	ORGANIZATION
Sh(ø|o)p	ORGANIZATION
Shameful Eddie 's	ORGANIZATION
Shapes	ORGANIZATION
She-She Lounge	ORGANIZATION
Shoe City	ORGANIZATION
Shorty 's	ORGANIZATION
Shotkickers	ORGANIZATION
Shrink	ORGANIZATION
Sit-N-Rotate	ORGANIZATION
Skobo ('s)	ORGANIZATION
Skybucks	ORGANIZATION
Slaughterhouse	ORGANIZATION
Southern Cracker	ORGANIZATION
Southpaw Superstore	ORGANIZATION
Spiffany 's	ORGANIZATION
Sportacus	ORGANIZATION
Sprawl-Mart	ORGANIZATION
SpringShield	ORGANIZATION
Spruce Caboose	ORGANIZATION
Stomach Staples	ORGANIZATION
Stonecutter	ORGANIZATION
Suicide Notes	ORGANIZATION
Superstore	ORGANIZATION
Tavern	ORGANIZATION
The China Syndrome	ORGANIZATION
Things Unnecessary	ORGANIZATION
To Know Motel	ORGANIZATION
Toe County Courthouse	ORGANIZATION
Trader	ORGANIZATION
Try-N-Save	ORGANIZATION
Up , Up and Buffet !	ORGANIZATION
Utmost	ORGANIZATION
Vast Waistband	ORGANIZATION
VHS	ORGANIZATION
Victor/Victoria 's	ORGANIZATION
Vulgari	ORGANIZATION
Walk-In	ORGANIZATION
Wall E. Weasel 's	ORGANIZATION
Wee Care	ORGANIZATION
You Forgot-Me-Nots	ORGANIZATION
Youth Festival	ORGANIZATION
Zertz	ORGANIZATION
Zesty 's	ORGANIZATION
ZiffCorp	ORGANIZATION
Arty Smarty	ORGANIZATION 
Burger(s)	ORGANIZATION 
Crafts	ORGANIZATION 
Crafty Art	ORGANIZATION 
Dentistry	ORGANIZATION 
Euro-Itchy	ORGANIZATION 
Fragg	ORGANIZATION 
Frying Dutchman	ORGANIZATION 
Gum for Less	ORGANIZATION 
Hal	ORGANIZATION 
Hjorleifsstræti	ORGANIZATION 
Knifestyles	ORGANIZATION 
Lad	ORGANIZATION 
Slingshot	ORGANIZATION 
SpringFace	ORGANIZATION 
Swanky Fish	ORGANIZATION 
(,) M.D. Family Practice	ORGANIZATION  
Derrière	ORGANIZATION  
FaceStuffers	ORGANIZATION  
Lard	ORGANIZATION  
Myron	ORGANIZATION  
Reality	ORGANIZATION   
Store	ORGANIZATION   
4-H	PARTOFLOCATION
98c	PARTOFLOCATION
All-Night	PARTOFLOCATION
Allied	PARTOFLOCATION
Apartments	PARTOFLOCATION
Appliance	PARTOFLOCATION
Are Us	PARTOFLOCATION
Around the	PARTOFLOCATION
Arts	PARTOFLOCATION
Atol	PARTOFLOCATION
Attic	PARTOFLOCATION
Auto(maton)	PARTOFLOCATION
Bachelor	PARTOFLOCATION
Bait	PARTOFLOCATION
Bikini	PARTOFLOCATION
Boat	PARTOFLOCATION
Bowling	PARTOFLOCATION
Box	PARTOFLOCATION
Broker	PARTOFLOCATION
Car Impound Lot	PARTOFLOCATION
Chocolate	PARTOFLOCATION
Cleaner(s)	PARTOFLOCATION
Coffee	PARTOFLOCATION
Computers	PARTOFLOCATION
Corinthians	PARTOFLOCATION
Critters	PARTOFLOCATION
Day-Care	PARTOFLOCATION
Earth ('s)	PARTOFLOCATION
East(ern)	PARTOFLOCATION
Elementary	PARTOFLOCATION
Feedbag	PARTOFLOCATION
Flavors	PARTOFLOCATION
Frames	PARTOFLOCATION
Freaky	PARTOFLOCATION
Fun	PARTOFLOCATION
Gas	PARTOFLOCATION
Gifts	PARTOFLOCATION
Golf 'N' Die	PARTOFLOCATION
Greek	PARTOFLOCATION
Hair	PARTOFLOCATION
Half-Man Half-Ape	PARTOFLOCATION
Industry	PARTOFLOCATION
Kid	PARTOFLOCATION
League	PARTOFLOCATION
Licenses	PARTOFLOCATION
Little	PARTOFLOCATION
Lofts at	PARTOFLOCATION
Market	PARTOFLOCATION
Monocle	PARTOFLOCATION
Murder	PARTOFLOCATION
Music	PARTOFLOCATION
New	PARTOFLOCATION
North(ern)	PARTOFLOCATION
Page	PARTOFLOCATION
Pet	PARTOFLOCATION
Phone	PARTOFLOCATION
Porno	PARTOFLOCATION
Pot	PARTOFLOCATION
Retirement	PARTOFLOCATION
Sensible	PARTOFLOCATION
Shoes	PARTOFLOCATION
Singing Sirloin	PARTOFLOCATION
Skip	PARTOFLOCATION
Slide	PARTOFLOCATION
Smart	PARTOFLOCATION
South(ern)	PARTOFLOCATION
Spaghetti	PARTOFLOCATION
St.	PARTOFLOCATION
Station	PARTOFLOCATION
Such	PARTOFLOCATION
Suffering	PARTOFLOCATION
Swartzwelder Historic Cider Mill	PARTOFLOCATION
Systems	PARTOFLOCATION
Tea	PARTOFLOCATION
The	PARTOFLOCATION
Theme	PARTOFLOCATION
Therapy	PARTOFLOCATION
Toddlin	PARTOFLOCATION
Towing	PARTOFLOCATION
Trade	PARTOFLOCATION
Trees	PARTOFLOCATION
Values	PARTOFLOCATION
West(ern)	PARTOFLOCATION
Woozy Canary	PARTOFLOCATION
Yet	PARTOFLOCATION
(for) Abandoned (Animals)	PARTOFLOCATION 
(L|l)(e|a)	PARTOFLOCATION 
99-Stud	PARTOFLOCATION 
Alternative	PARTOFLOCATION 
Builders	PARTOFLOCATION 
Circuit	PARTOFLOCATION 
Destitute	PARTOFLOCATION 
Fair	PARTOFLOCATION 
Fish	PARTOFLOCATION 
Head	PARTOFLOCATION 
Inernational	PARTOFLOCATION 
Inspiration	PARTOFLOCATION 
Lonely	PARTOFLOCATION 
Memorial	PARTOFLOCATION 
Palm	PARTOFLOCATION 
Second-Best	PARTOFLOCATION 
Sideburns	PARTOFLOCATION 
Stupid	PARTOFLOCATION 
SUV	PARTOFLOCATION 
Video	PARTOFLOCATION 
(Semi-)*Painless	PARTOFLOCATION  
Cheap	PARTOFLOCATION  
Donuts	PARTOFLOCATION  
Liquor	PARTOFLOCATION  
Mega	PARTOFLOCATION  
Old(e)	PARTOFLOCATION  
Sirens	PARTOFLOCATION  
Slaughter	PARTOFLOCATION   
(,) Jr.	PARTOFPERSON
(,) Sr.	PARTOFPERSON
Chief	PARTOFPERSON
Colonel	PARTOFPERSON
Groundskeeper	PARTOFPERSON
Mayor	PARTOFPERSON
Mr.	PARTOFPERSON
Mrs.	PARTOFPERSON
Ms.	PARTOFPERSON
Professor	PARTOFPERSON
Sir	PARTOFPERSON
Communist	PARTOFPERSON 
Dr.	PARTOFPERSON 
Madame	PARTOFPERSON 
Amber	PERSON
Anastasia	PERSON
Bitey	PERSON
Blinky	PERSON
Bobo	PERSON
Bumblebee	PERSON
Choppy	PERSON
Crazy Cat Lady	PERSON
Crippler	PERSON
Dudley 	PERSON
Duffman	PERSON
Fido	PERSON
Flanders	PERSON
Froggie	PERSON
Furious D	PERSON
Furious George	PERSON
Gamera	PERSON
Geech	PERSON
Godzilla	PERSON
Hercules	PERSON
Homer	PERSON
Krudler	PERSON
Laddie	PERSON
Ling	PERSON
Lumpy	PERSON
Mister	PERSON
Mojo	PERSON
Mothra	PERSON
Nibbles	PERSON
Patty	PERSON
Peabody	PERSON
Piggy	PERSON
Pikachu	PERSON
Pinchy	PERSON
Pinky	PERSON
Powers	PERSON
Santa (Claus)	PERSON
Scarlet	PERSON
Scraps	PERSON
Scrat	PERSON
Screwy	PERSON
Selma	PERSON
She 's the Fastest	PERSON
Simpson	PERSON
Snowball	PERSON
Snowball (|I|II|III|IV|V)	PERSON
Sonic	PERSON
Sparklemon	PERSON
Stampy	PERSON
Stinky	PERSON
Strangles	PERSON
Superdude	PERSON
the Simpsons	PERSON
Thelma	PERSON
Wiggum	PERSON
Winckels	PERSON
Bambi	PERSON 
Itchy	PERSON 
Kafka	PERSON 
Plopper	PERSON 
Spuckler	PERSON 
Binky	PERSON  
Poochie	PERSON  
Princess	PERSON  
Stingy	PERSON  
Little Helper	PERSON   
Scratchy	PERSON   
pound(s)	WEIGHT
